customer_id,related_customer_id,relationship_type,risk_weight,is_active
5Sk$D$80,m<F@%qC2,co_borrower,0.773,true
gX(FDrx&,Fo%m0qC3,co_borrower,0.847,true
go$zD7(2,5XFm0(J3,co_borrower,0.886,true
5Xy$&(C0,5X%6n&(j,co_borrower,0.921,false
5&%zj(eM,FvcznB(0,co_borrower,0.712,false
5X%@n(z0,g%k6jrC&,co_borrower,0.811,false
FX%@Vy88,5X<@0q1K,co_borrower,0.934,false
5Sk8D((8,g!yFb$e&,co_borrower,0.82,true
5X%$j%x2,Nm<Fj%$2,co_borrower,0.862,true
g<c$mBJj,5S<gS((j,co_borrower,0.796,true
go$F%)e&,iXkz0r$8,co_borrower,0.858,true
5&%z%$zM,5#%FV&$0,co_borrower,0.801,true
5mH@nqx8,5XL6DB$0,co_borrower,0.78,true
5X%8byzM,jX<Fnyz&,co_borrower,0.774,true
iSL$br80,5%<zb)ej,co_borrower,0.885,true
Xv%8jr8b,gmcF%%C2,co_borrower,0.711,true
Mv%Fb)x3,goFF0Be0,co_borrower,0.709,true
5XFm0(J3,5m$mS(Jj,co_borrower,0.93,false
F%<6j(j3,5!L6j(j8,co_borrower,0.767,false
FS<@D)Jj,gXFgm%zK,co_borrower,0.799,true
5o<@D%Jb,5X<z0qxd,co_borrower,0.833,true
m%yz&7z0,5X%F0788,co_borrower,0.783,false
g%c6b(e0,5SH*S&x3,co_borrower,0.85,true
5X%gmB$0,5XyFn)8j,co_borrower,0.798,true
5vLFj((0,5!(zm788,co_borrower,0.86,true
gok8%710,NSkz&r13,co_borrower,0.902,false
5X(g&$xj,5Xc8%(8K,co_borrower,0.829,true
F%kjDBzd,5Xk6%rjd,co_borrower,0.903,true
9X<zbBe3,5XyFV&jb,co_borrower,0.733,true
M&(8j7z8,m<F*&r(d,co_borrower,0.88,true
5X%$jq1&,iSF6j7jb,co_borrower,0.786,true
5S%6b)$M,FS<807$8,co_borrower,0.902,true
gv%FS%eM,gXygm%j8,co_borrower,0.934,true
F%kj&$83,5<kF0$1K,co_borrower,0.864,true
Fv(8V(1M,FX%mD%1&,co_borrower,0.916,true
5XF8Vr82,5&($nBJd,co_borrower,0.756,true
5XFFSyxM,5X<jn)(b,co_borrower,0.726,true
5!L6mqj0,gm($&7zj,co_borrower,0.753,false
5Xc8V(jd,iX<$&rxd,co_borrower,0.878,true
m<F*Dy$8,5Xc$m%zb,co_borrower,0.73,true
5SHFb7z3,iSF6j7jb,co_borrower,0.919,true
g%(jm$Jj,M#<F0$$0,co_borrower,0.922,false
5<czD$Jd,MS%F0B$b,co_borrower,0.825,true
gmk@0%z2,5!Lzj&$2,co_borrower,0.917,true
5%<zb&1&,5&$zb7zb,co_borrower,0.798,true
Fokz%B(j,5Xygb%J0,co_borrower,0.925,true
gX$F0)$M,5SL@%&$8,co_borrower,0.785,true
5o<mS($3,5!L6mqj0,co_borrower,0.938,true
F&<F0%jb,5!yFV&jM,co_borrower,0.901,true
F%y6byCj,gmFzm($8,co_borrower,0.765,true
5o%FV$xd,5S%*%yJ2,co_borrower,0.762,true
5ok80BCM,5mc@m&83,co_borrower,0.784,true
iXFz0q8&,Nm<F0%jb,co_borrower,0.852,true
5S%$my1M,9X<Fn(ej,co_borrower,0.746,true
5SH*brjb,mmc*0$z0,co_borrower,0.787,false
5vcm%q8j,5o<zS)1&,co_borrower,0.812,false
5Xkgb&C3,5X%@&re0,co_borrower,0.787,true
5&cz0rz3,iS<8mr8b,co_borrower,0.838,true
g!(z0r8j,FX%@VyJ&,co_borrower,0.805,true
5mHmj%(K,gXy$V$88,co_borrower,0.913,true
gSyFm)j&,5XF$Dqz2,co_borrower,0.724,true
5%czSr$8,5S$zbyCb,co_borrower,0.846,false
ivcgmyJK,FXyF0Bjb,co_borrower,0.744,true
gXkFm%13,5m%Fm7J0,co_borrower,0.758,true
5XyFjqz8,gvLFV&(0,co_borrower,0.871,true
5Xyzmy8&,gv%FD%12,co_borrower,0.823,true
5Xk$%rx3,5SL$VqC0,co_borrower,0.765,true
MoHFmyJ&,5X<8%$j0,co_borrower,0.724,false
5mH$myxd,5X<@S7j2,co_borrower,0.748,true
5X%zj%zM,5o$6S713,co_borrower,0.754,true
gS%zn$$&,5X(6Dy$3,co_borrower,0.891,true
gScFbq8d,5X%@DBzM,co_borrower,0.716,true
5X<8j&$d,9!yzj$(3,co_borrower,0.747,true
5SL@S&j2,5XFgm$eM,co_borrower,0.843,true
5!Lzjq88,gXHF&rjj,co_borrower,0.912,true
5SH8S)10,FS<@j$(0,co_borrower,0.908,false
iXFz0(zb,5X%$0)8K,co_borrower,0.746,false
5X%mjBeM,5mH@D)x3,co_borrower,0.89,false
5X(8my8b,Fvczn$zb,co_borrower,0.729,true
gXL*V7$d,N<<$b%$M,co_borrower,0.914,true
5!$Fj7x8,gmkF0)xM,co_borrower,0.797,true
m%k$Vr$d,5X%$jBC3,co_borrower,0.7,true
FS<6S&1d,m<F*nrzK,co_borrower,0.794,true
5#k$b&8M,9Xc*V(Cj,co_borrower,0.731,true
g!yFn(J2,iS<zj&J2,co_borrower,0.813,true
iX<znyxj,5S($m(xb,co_borrower,0.919,true
5XF$jB83,gvFFjqz3,co_borrower,0.744,false
g#c*&&(M,5X<@0q1K,co_borrower,0.873,true
FX<Fn$J0,gXyj%&j8,co_borrower,0.887,true
5X<$bq(j,MXy8D7C&,co_borrower,0.715,true
9Xkjj&(0,gvy6mr82,co_borrower,0.949,false
g#(FSB(2,Xv%jDq88,co_borrower,0.745,true
5X(80($M,Fmy6VB13,co_borrower,0.901,true
5X%8Vq12,5X(gDy8j,co_borrower,0.747,true
F%<zV&xK,gv<jn%18,co_borrower,0.776,false
MXy6b%C3,5X%FmBJ&,co_borrower,0.932,true
5oLFbBC2,gS$*V)(&,co_borrower,0.859,true
5m%g%rx3,g#kzjyjM,co_borrower,0.775,true
gXyj%)(8,5oFj0)80,co_borrower,0.734,false
9Xy8b)$&,gS<F&Bjd,co_borrower,0.837,true
g!yzb$x0,5%c$nred,co_borrower,0.936,true
iX<zV&e&,5X<6S%e2,co_borrower,0.877,true
iS<j%$jd,FS<$b%J&,co_borrower,0.834,false
5#LFj(x2,gX$6&rz&,co_borrower,0.773,false
5XFFSrCK,5XyzmBxd,co_borrower,0.761,false
5XL*b78d,5Xc*D7(&,co_borrower,0.757,true
5Sc$m%xd,5vcm&$(0,co_borrower,0.82,false
iSLzjqz&,9v<Fj7J&,co_borrower,0.898,true
iSL$j&13,5S(zSqC&,co_borrower,0.864,true
iX<$&)8M,XmczbB1d,co_borrower,0.927,true
5%<8&)$3,5Xk$n$J3,co_borrower,0.754,true
iS<8mr8b,iX<$D&8M,co_borrower,0.821,true
M&(8Sre3,5vFj0)jK,co_borrower,0.804,true
gX(@0B1K,5Sk6S&j8,co_borrower,0.872,false
g<<zS(82,g&yF0qjd,co_borrower,0.724,true
5Sk$bBzj,5m<$n)x&,co_borrower,0.838,true
5XFm0qzj,5!y80yz8,co_borrower,0.815,true
9XyjD7C0,5XkFn7xj,co_borrower,0.757,false
5SF@S%z2,5X%jS%j2,co_borrower,0.751,true
5<$$j%88,5X%zD%18,co_borrower,0.915,true
F%kgn)18,5X%jD78M,co_borrower,0.812,true
9!HzD7x2,mmc*0$z0,co_borrower,0.81,false
5!<@m&e2,gmHFjre&,co_borrower,0.733,true
5X%z%$eb,mo<$S)jK,co_borrower,0.781,true
5Xy*&)J8,5Sk$bBzj,co_borrower,0.786,true
5XFgm&zM,X#%F071b,co_borrower,0.761,true
5<kz&$z3,9!yzj%C0,co_borrower,0.922,false
gX%6j$(0,iS<z&$$8,co_borrower,0.916,true
5mFFVqjM,mS<8D7C2,co_borrower,0.861,true
g#c*S%$3,gX(z&$1j,co_borrower,0.892,false
5Xk6&71j,gXFgm%zK,co_borrower,0.847,true
5mFFD(8b,5oH$V&8M,co_borrower,0.907,true
gm($%rC&,5XkFb&(8,co_borrower,0.711,false
gSkzD710,m<Fzm$zj,co_borrower,0.783,true
5<$$0(8&,gXcF%%1M,co_borrower,0.926,false
Fo%8jyj&,g&%FDqJ3,co_borrower,0.858,true
ivkj&qe3,5&(FDyJM,co_borrower,0.908,true
5XF6j)CK,5ok8&y13,co_borrower,0.709,true
gX(jj((b,5oc6m($3,co_borrower,0.781,true
