customer_id,snapshot_date,age_band,gender,city,district,branch_code,branch_name,customer_tenure_months,occupation_category,income_band,customer_type,total_accounts,has_savings,has_current_account,has_deposit,has_loan,has_mobile_banking,has_internet_banking,product_holding_count,avg_savings_balance_3m,avg_deposit_balance_3m,total_deposit_balance,outstanding_loan_balance,monthly_avg_transaction_amount,monthly_transaction_count,days_since_last_transaction,active_months_last_6m,debit_transaction_count_3m,credit_transaction_count_3m,digital_login_count_3m,atm_transaction_count_3m,branch_transaction_count_3m,customer_segment,segment_description,segment_score,dormant_flag,dormant_risk_level,dormant_probability,dormant_reason_code,recommended_campaign,recommended_channel,next_best_action,credit_score,credit_risk_label,churn_probability,churn_risk_label,loan_type,digital_banking_adoption,lat,lng,segmentation_model_version,dormant_model_version,scoring_timestamp
CUST000000011,2026-06-01,56-65,F,Jakarta Barat,Jakarta Barat,BXY703,Cabang Jakarta Barat,126,Pegawai,25-50jt,SME,6,True,False,False,True,False,False,5,19829418.02,3691322.47,4086249.18,29725534.15,14588317.92,21,21,6,27,60,8,13,1,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.6579,False,LOW,0.0084,NO_DIGITAL_LOGIN,Loan Restructure Outreach,SMS Campaign,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,536,BAD,0.0322,LOW,KPR,None,-6.135718,106.720905,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000012,2026-06-01,36-45,F,Bekasi,Bekasi,BXY466,Cabang Bekasi Barat,188,Petani/Nelayan,>50jt,SME,2,True,False,True,True,False,False,5,20525914.5,60105242.04,62365642.01,17939673.48,4223707.28,15,9,5,35,37,2,18,0,Payroll Customer,Nasabah payroll aktif,0.7233,False,LOW,0.2337,LOW_TRANSACTION_COUNT,Loan Restructure Outreach,Branch Outreach,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,761,GOOD,0.1943,LOW,KTA,None,-6.246757,106.939202,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000013,2026-06-01,18-25,M,Gresik,Gresik,BXY786,Cabang Gresik,206,Petani/Nelayan,>50jt,SME,6,True,True,True,True,True,False,2,13945582.61,16356500.14,19016916.17,38909938.85,7577797.17,49,13,4,29,6,3,16,6,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.9786,False,LOW,0.091,MATURED_DEPOSIT,Loan Restructure Outreach,Branch Outreach,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,711,FAIR,0.1023,LOW,KKB,Passive,-7.137906,112.690413,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000014,2026-06-01,26-35,F,Sorong,Sorong,BXY530,Cabang Sorong,213,Pensiunan,5-10jt,Individual,3,True,False,True,True,True,True,4,20572349.77,42559398.9,41540668.85,82057244.71,4351745.39,66,9,5,153,68,0,6,2,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.8289,False,LOW,0.1245,LOW_TRANSACTION_COUNT,Loan Restructure Outreach,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,714,FAIR,0.2016,LOW,KKB,Passive,-0.902534,131.235394,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000015,2026-06-01,18-25,F,Sidoarjo,Sidoarjo,BXY930,Cabang Waru,214,UMKM,10-25jt,SME,3,True,True,True,True,True,True,4,218032869.25,66659835.68,65354484.72,1069157808.44,13031479.37,46,10,4,120,89,12,30,11,SME Owner,Nasabah pemilik usaha kecil dan menengah,0.5572,False,LOW,0.1838,BALANCE_DECLINE,Payroll Bundle,Relationship Manager,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,672,FAIR,0.1574,LOW,KTA,Passive,-7.481115,112.738768,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000016,2026-06-01,56-65,F,Sorong,Sorong,BXY160,Cabang Sorong,103,Profesional,>50jt,Individual,1,True,False,True,True,True,False,1,26341858.08,49788306.37,60037051.39,2459557385.26,2884219.03,11,12,3,7,9,19,19,10,Credit Heavy,Nasabah dengan eksposur pinjaman tinggi,0.7927,False,LOW,0.1922,MATURED_DEPOSIT,Loan Restructure Outreach,SMS Campaign,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,453,BAD,0.2179,LOW,KKB,Passive,-0.905406,131.224845,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000017,2026-06-01,>65,M,Solo,Solo,BXY560,Cabang Solo Slamet Riyadi,26,Pelajar,10-25jt,SME,5,True,False,False,True,False,False,4,6026240.87,448144.55,544762.19,24424739.27,11066945.9,3,120,1,3,4,3,25,10,Dormant Risk,Nasabah dengan aktivitas rendah dan risiko dormant,0.5609,False,MEDIUM,0.6201,LOW_ACTIVITY,SME Advisory,Call Center,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,342,BAD,0.6051,MEDIUM,KTA,None,-7.546422,110.803524,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000018,2026-06-01,36-45,F,Madiun,Madiun,BXY723,Cabang Madiun,113,Pelajar,25-50jt,Individual,1,True,False,True,True,False,False,3,10768610.03,49895985.39,48361271.21,18004297.52,5793233.97,59,2,3,111,15,15,33,6,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.6597,False,LOW,0.1603,NO_DIGITAL_LOGIN,Payroll Bundle,Relationship Manager,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,662,FAIR,0.2322,LOW,KKB,None,-7.649328,111.536096,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000019,2026-06-01,18-25,F,Gresik,Gresik,BXY545,Cabang Gresik,45,Pelajar,<5jt,Individual,3,True,True,True,True,False,False,2,32954545.47,5387004.69,5502535.6,30721224.7,11683660.83,59,0,5,0,168,4,36,9,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.9266,False,LOW,0.0895,MATURED_DEPOSIT,SME Advisory,Call Center,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,561,POOR,0.0639,LOW,KPR,None,-7.161115,112.636244,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000020,2026-06-01,26-35,F,Surabaya,Surabaya,BXY998,Cabang Manyar,182,Petani/Nelayan,25-50jt,SME,4,True,False,True,True,True,False,5,13866118.36,15506880.95,18172965.74,43462408.69,4366341.87,6,3,3,3,12,0,40,6,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.8141,False,LOW,0.2762,LOW_TRANSACTION_COUNT,Cross-sell Deposito,Branch Outreach,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,523,BAD,0.2128,LOW,KKB,Passive,-7.209101,112.793838,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000021,2026-06-01,46-55,F,Tangerang,Tangerang,BXY726,Cabang Tangerang,226,UMKM,<5jt,SME,5,True,True,True,True,False,False,2,26834656.74,32518014.52,31710834.7,165584020.01,12418153.11,56,7,6,55,18,19,28,10,SME Owner,Nasabah pemilik usaha kecil dan menengah,0.6245,False,LOW,0.0,BALANCE_DECLINE,Cross-sell Deposito,Call Center,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,618,POOR,0.0,LOW,KTA,None,-6.196753,106.602275,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000022,2026-06-01,56-65,F,Yogyakarta,Yogyakarta,BXY637,Cabang Yogyakarta Malioboro,192,Petani/Nelayan,>50jt,SME,5,True,False,True,True,False,False,1,32799362.56,12189480.34,12695204.73,46382801.92,6266075.31,54,18,3,104,40,16,57,0,Payroll Customer,Nasabah payroll aktif,0.6289,False,LOW,0.161,BALANCE_DECLINE,Reaktivasi Dormant,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,622,POOR,0.2619,LOW,KKB,None,-7.75452,110.333883,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000023,2026-06-01,56-65,F,Jayapura,Jayapura,BXY758,Cabang Jayapura,209,UMKM,<5jt,SME,4,True,False,True,True,True,False,2,18077043.46,21906952.58,22218172.75,73180247.05,11355599.17,65,8,5,174,29,15,26,12,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.615,False,LOW,0.1121,MATURED_DEPOSIT,Loan Restructure Outreach,Relationship Manager,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,587,POOR,0.1957,LOW,KKB,Passive,-2.607253,140.652376,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000024,2026-06-01,46-55,F,Pontianak,Pontianak,BXY637,Cabang Pontianak,170,Pensiunan,>50jt,Individual,2,True,False,True,True,False,False,2,165501104.07,1025252952.39,1176385546.58,54342743.54,12211262.58,35,3,5,10,95,2,58,8,Affluent Depositor,Nasabah saldo tinggi dengan kepemilikan deposito kuat,0.7754,False,LOW,0.111,NORMAL_ACTIVITY,Cross-sell Deposito,Branch Outreach,Tawarkan produk deposito atau wealth bundling sesuai profil saldo.,716,FAIR,0.1612,LOW,KPR,None,-0.001818,109.310891,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000025,2026-06-01,36-45,F,Banjarmasin,Banjarmasin,BXY283,Cabang Banjarmasin,25,UMKM,10-25jt,SME,2,True,True,True,True,True,True,2,190978400.77,6056928.38,5978993.64,653540403.79,6946446.28,77,154,3,39,160,6,16,0,SME Owner,Nasabah pemilik usaha kecil dan menengah,0.6847,False,MEDIUM,0.4466,LOW_ACTIVITY,Cross-sell Deposito,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,540,BAD,0.2794,LOW,KTA,Passive,-3.363339,114.568122,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000026,2026-06-01,26-35,F,Yogyakarta,Yogyakarta,BXY986,Cabang Yogyakarta Malioboro,111,Pegawai,>50jt,Individual,4,True,False,True,True,False,False,2,29062178.96,51629997.62,59120733.47,47339053.29,14275347.27,24,12,5,5,50,16,8,1,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.9254,False,LOW,0.1033,MATURED_DEPOSIT,Cross-sell Deposito,SMS Campaign,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,633,POOR,0.2181,LOW,KPR,None,-7.844042,110.322316,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000027,2026-06-01,36-45,M,Samarinda,Samarinda,BXY436,Cabang Samarinda,51,Pelajar,>50jt,Individual,5,True,False,True,False,True,False,3,133692516.11,1735098722.11,1878536858.12,9503614.02,9692288.32,69,17,3,73,127,16,42,0,Affluent Depositor,Nasabah saldo tinggi dengan kepemilikan deposito kuat,0.5594,False,LOW,0.2291,NORMAL_ACTIVITY,Cross-sell Deposito,Branch Outreach,Tawarkan produk deposito atau wealth bundling sesuai profil saldo.,795,GOOD,0.2271,LOW,None,Passive,-0.525705,117.107848,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000028,2026-06-01,36-45,M,Bekasi,Bekasi,BXY241,Cabang Bekasi Barat,137,Profesional,10-25jt,Individual,4,True,False,True,True,True,False,3,12663321.74,6682137.15,7391189.75,68551218.42,10914340.62,48,21,6,67,102,10,26,11,Payroll Customer,Nasabah payroll aktif,0.7434,False,LOW,0.0018,LOW_TRANSACTION_COUNT,Upgrade Digital Banking,SMS Campaign,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,646,POOR,0.0685,LOW,KPR,Passive,-6.242644,106.943235,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000029,2026-06-01,46-55,M,Yogyakarta,Yogyakarta,BXY559,Cabang Yogyakarta Malioboro,235,Pegawai,5-10jt,SME,6,True,False,True,True,False,False,5,33544256.44,36228119.17,37895357.3,63290326.84,857118.2,36,13,4,35,70,2,21,11,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.6438,False,LOW,0.2442,BALANCE_DECLINE,Reaktivasi Dormant,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,625,POOR,0.1861,LOW,KTA,None,-7.759319,110.326442,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000030,2026-06-01,46-55,M,Kendari,Kendari,BXY376,Cabang Kendari,68,UMKM,<5jt,SME,5,True,True,True,True,False,False,2,70833955.42,11402725.6,13397538.39,284999933.33,13975258.08,40,20,5,1,109,11,19,2,SME Owner,Nasabah pemilik usaha kecil dan menengah,0.8788,False,LOW,0.1452,BALANCE_DECLINE,SME Advisory,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,732,FAIR,0.2363,LOW,KTA,None,-3.974614,122.518904,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000031,2026-06-01,36-45,M,Kendari,Kendari,BXY330,Cabang Kendari,107,UMKM,<5jt,SME,4,True,False,True,False,True,True,4,11167708.98,18462480.42,22265787.95,1413817.77,4434784.76,34,6,3,82,93,11,5,12,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.7175,False,LOW,0.2244,MATURED_DEPOSIT,Reaktivasi Dormant,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,562,POOR,0.2389,LOW,None,Passive,-3.951633,122.553556,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000032,2026-06-01,36-45,M,Semarang,Semarang,BXY538,Cabang Semarang Pemuda,195,Pegawai,10-25jt,Individual,5,True,False,True,True,True,False,5,18600280.12,51428068.76,60453224.4,272194628.84,8376580.1,27,1,6,35,11,1,11,0,Credit Heavy,Nasabah dengan eksposur pinjaman tinggi,0.7296,False,LOW,0.0896,NORMAL_ACTIVITY,Payroll Bundle,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,640,POOR,0.0153,LOW,KKB,Passive,-6.943628,110.448922,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000033,2026-06-01,56-65,F,Jakarta Barat,Jakarta Barat,BXY665,Cabang Jakarta Barat,146,Petani/Nelayan,>50jt,SME,3,True,False,True,True,True,True,2,28186712.93,29594675.14,34181761.53,90534046.63,10958881.9,45,14,4,124,84,14,6,3,Payroll Customer,Nasabah payroll aktif,0.8197,False,LOW,0.1165,LOW_ACTIVITY,SME Advisory,Branch Outreach,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,721,FAIR,0.0821,LOW,KTA,Passive,-6.157325,106.719121,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000034,2026-06-01,56-65,F,Jember,Jember,BXY666,Cabang Jember,224,Pensiunan,5-10jt,SME,5,True,False,True,True,False,False,5,33143505.42,35608401.27,41233654.19,47789893.6,10306369.13,44,19,3,89,107,18,51,5,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.7635,False,LOW,0.2339,LOW_TRANSACTION_COUNT,Reaktivasi Dormant,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,671,FAIR,0.127,LOW,KPR,None,-8.192423,113.677088,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000035,2026-06-01,36-45,M,Bogor,Bogor,BXY986,Cabang Bogor Sudirman,203,Profesional,5-10jt,Individual,5,True,False,False,True,True,True,1,12137210.03,2107927.67,2084987.58,71937796.91,12190917.59,61,23,3,69,27,104,56,7,Digital Active,Nasabah aktif di channel digital,0.8448,False,LOW,0.2452,NORMAL_ACTIVITY,Upgrade Digital Banking,Mobile Banking,Dorong penggunaan fitur digital dan transaksi rutin.,533,BAD,0.0782,LOW,KKB,Active,-6.618648,106.817769,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000036,2026-06-01,18-25,M,Bandung,Bandung,BXY907,Cabang Bandung Braga,91,Pelajar,25-50jt,SME,4,True,False,False,True,False,False,3,457339.57,2716506.24,2900192.01,36120332.73,3945149.9,3,300,1,1,4,2,27,11,Dormant Risk,Nasabah dengan aktivitas rendah dan risiko dormant,0.7942,True,HIGH,0.9703,LOW_TRANSACTION_COUNT,Reaktivasi Dormant,Branch Outreach,Hubungi nasabah untuk reaktivasi transaksi dan penawaran campaign personal.,375,BAD,0.8551,HIGH,KPR,None,-6.889903,107.651615,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000037,2026-06-01,56-65,M,Sorong,Sorong,BXY417,Cabang Sorong,229,Petani/Nelayan,25-50jt,Individual,3,True,False,True,True,False,False,5,22277497.58,30855675.37,32958866.27,15530050.62,4071160.81,9,12,6,13,2,0,52,3,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.6029,False,LOW,0.1138,NO_DIGITAL_LOGIN,Reaktivasi Dormant,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,540,BAD,0.2048,LOW,KKB,None,-0.875835,131.273277,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000038,2026-06-01,18-25,M,Banyuwangi,Banyuwangi,BXY207,Cabang Banyuwangi,206,UMKM,>50jt,Individual,1,True,True,True,True,False,False,1,27240038.27,15167095.35,16324153.01,13695197.69,732485.94,33,23,3,94,41,14,23,8,Mass Retail,Nasabah retail umum dengan transaksi reguler,0.8595,False,LOW,0.178,BALANCE_DECLINE,Upgrade Digital Banking,Mobile Banking,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,515,BAD,0.1876,LOW,KTA,None,-8.223838,114.334786,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000039,2026-06-01,>65,F,Kendari,Kendari,BXY219,Cabang Kendari,240,Pensiunan,<5jt,Individual,5,True,False,True,True,False,False,1,23930191.02,16660769.27,15912097.18,1612648731.24,6978329.1,66,15,3,91,190,0,23,0,Credit Heavy,Nasabah dengan eksposur pinjaman tinggi,0.77,False,LOW,0.3265,NORMAL_ACTIVITY,Payroll Bundle,Call Center,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,665,FAIR,0.262,LOW,KKB,None,-3.974645,122.488917,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000040,2026-06-01,56-65,M,Sorong,Sorong,BXY889,Cabang Sorong,139,Pensiunan,25-50jt,Individual,4,True,False,True,True,True,True,5,12847520.72,24161665.33,26285183.83,71559108.59,7984723.12,112,23,6,252,175,163,34,3,Digital Active,Nasabah aktif di channel digital,0.746,False,LOW,0.0913,NORMAL_ACTIVITY,Upgrade Digital Banking,Mobile Banking,Dorong penggunaan fitur digital dan transaksi rutin.,666,FAIR,0.0,LOW,KPR,Active,-0.833567,131.220298,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000041,2026-06-01,56-65,M,Batam,Batam,BXY553,Cabang Batam,167,Profesional,<5jt,Individual,1,True,False,True,True,True,True,1,372318388.03,1877366909.28,1981897606.44,68398292.3,183161.63,26,24,6,12,74,10,34,11,Affluent Depositor,Nasabah saldo tinggi dengan kepemilikan deposito kuat,0.9201,False,LOW,0.0567,NORMAL_ACTIVITY,Cross-sell Deposito,Branch Outreach,Tawarkan produk deposito atau wealth bundling sesuai profil saldo.,705,FAIR,0.0,LOW,KPR,Passive,1.173055,104.003277,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000042,2026-06-01,56-65,F,Jakarta Pusat,Jakarta Pusat,BXY438,Cabang Jakarta Pusat,75,UMKM,25-50jt,Individual,6,True,False,True,True,False,False,4,16061461.1,60861920.41,67349784.96,1126403067.56,4489490.04,42,1,5,60,82,19,22,1,Credit Heavy,Nasabah dengan eksposur pinjaman tinggi,0.8849,False,LOW,0.0944,LOW_TRANSACTION_COUNT,Cross-sell Deposito,Relationship Manager,Lakukan engagement sesuai segmentasi dan perilaku transaksi.,503,BAD,0.0535,LOW,KPR,None,-6.140849,106.799358,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
CUST000000043,2026-06-01,46-55,M,Jakarta Barat,Jakarta Barat,BXY601,Cabang Jakarta Barat,31,Petani/Nelayan,10-25jt,SME,4,True,False,True,True,True,False,2,18843937.32,19623425.95,21179638.26,53661065.84,3852748.82,2,189,2,0,6,2,40,6,Dormant Risk,Nasabah dengan aktivitas rendah dan risiko dormant,0.6755,True,HIGH,0.8065,LOW_ACTIVITY,Reaktivasi Dormant,SMS Campaign,Hubungi nasabah untuk reaktivasi transaksi dan penawaran campaign personal.,335,BAD,0.8568,HIGH,KPR,Passive,-6.151463,106.769038,segmentation-kmeans-v2,dormant-xgboost-v2,2026-06-24 14:40:48
